freq_mhz,field_corr_dbuvm,mode
30.0,18.16742509439325,Standby vs ambient (26 May)
30.048828125,20.649425094393248,Standby vs ambient (26 May)
30.09765625,21.10342509439325,Standby vs ambient (26 May)
30.146484375,21.18042509439325,Standby vs ambient (26 May)
30.1953125,21.39442509439325,Standby vs ambient (26 May)
30.244140625,21.72142509439325,Standby vs ambient (26 May)
30.29296875,21.783425094393248,Standby vs ambient (26 May)
30.341796875,21.98942509439325,Standby vs ambient (26 May)
30.390625,21.738425094393246,Standby vs ambient (26 May)
30.439453125,22.091425094393248,Standby vs ambient (26 May)
30.48828125,22.198425094393247,Standby vs ambient (26 May)
30.537109375,22.393425094393248,Standby vs ambient (26 May)
30.5859375,22.81942509439325,Standby vs ambient (26 May)
30.634765625,22.79242509439325,Standby vs ambient (26 May)
30.68359375,22.997425094393247,Standby vs ambient (26 May)
30.732421875,22.875425094393247,Standby vs ambient (26 May)
30.78125,23.219425094393248,Standby vs ambient (26 May)
30.830078125,23.260425094393252,Standby vs ambient (26 May)
30.87890625,23.33742509439325,Standby vs ambient (26 May)
30.927734375,23.820425094393247,Standby vs ambient (26 May)
30.9765625,23.592425094393246,Standby vs ambient (26 May)
31.025390625,24.091425094393248,Standby vs ambient (26 May)
31.07421875,24.022425094393245,Standby vs ambient (26 May)
31.123046875,24.268425094393248,Standby vs ambient (26 May)
31.171875,24.43442509439325,Standby vs ambient (26 May)
31.220703125,24.604425094393246,Standby vs ambient (26 May)
31.26953125,24.92342509439325,Standby vs ambient (26 May)
31.318359375,24.905425094393248,Standby vs ambient (26 May)
31.3671875,25.49542509439325,Standby vs ambient (26 May)
31.416015625,25.656425094393246,Standby vs ambient (26 May)
31.46484375,25.479425094393246,Standby vs ambient (26 May)
31.513671875,25.63042509439325,Standby vs ambient (26 May)
31.5625,25.48142509439325,Standby vs ambient (26 May)
31.611328125,25.88042509439325,Standby vs ambient (26 May)
31.66015625,25.875425094393247,Standby vs ambient (26 May)
31.708984375,25.89542509439325,Standby vs ambient (26 May)
31.7578125,25.824425094393245,Standby vs ambient (26 May)
31.806640625,25.66642509439325,Standby vs ambient (26 May)
31.85546875,25.946425094393252,Standby vs ambient (26 May)
